id,sensor__sensor_id,sensor__sensor_name,value,unit,timestamp
1,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 01:22:00
2,sensor_spo2,SPO2,97.8,%,2025-04-07 01:22:00
3,sensor_heart,Nhịp Tim,83.3,BPM,2025-04-07 01:22:00
4,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 01:27:00
5,sensor_spo2,SPO2,95.7,%,2025-04-07 01:27:00
6,sensor_heart,Nhịp Tim,72.3,BPM,2025-04-07 01:27:00
7,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 01:32:00
8,sensor_spo2,SPO2,99.5,%,2025-04-07 01:32:00
9,sensor_heart,Nhịp Tim,94.4,BPM,2025-04-07 01:32:00
10,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 01:37:00
11,sensor_spo2,SPO2,99.7,%,2025-04-07 01:37:00
12,sensor_heart,Nhịp Tim,90.1,BPM,2025-04-07 01:37:00
13,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 01:42:00
14,sensor_spo2,SPO2,99.0,%,2025-04-07 01:42:00
15,sensor_heart,Nhịp Tim,60.5,BPM,2025-04-07 01:42:00
16,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 01:47:00
17,sensor_spo2,SPO2,97.0,%,2025-04-07 01:47:00
18,sensor_heart,Nhịp Tim,80.5,BPM,2025-04-07 01:47:00
19,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 01:52:00
20,sensor_spo2,SPO2,97.2,%,2025-04-07 01:52:00
21,sensor_heart,Nhịp Tim,98.2,BPM,2025-04-07 01:52:00
22,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 01:57:00
23,sensor_spo2,SPO2,95.7,%,2025-04-07 01:57:00
24,sensor_heart,Nhịp Tim,74.5,BPM,2025-04-07 01:57:00
25,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 02:02:00
26,sensor_spo2,SPO2,98.5,%,2025-04-07 02:02:00
27,sensor_heart,Nhịp Tim,83.0,BPM,2025-04-07 02:02:00
28,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 02:07:00
29,sensor_spo2,SPO2,99.9,%,2025-04-07 02:07:00
30,sensor_heart,Nhịp Tim,82.4,BPM,2025-04-07 02:07:00
31,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 02:12:00
32,sensor_spo2,SPO2,96.0,%,2025-04-07 02:12:00
33,sensor_heart,Nhịp Tim,82.6,BPM,2025-04-07 02:12:00
34,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 02:17:00
35,sensor_spo2,SPO2,96.4,%,2025-04-07 02:17:00
36,sensor_heart,Nhịp Tim,61.8,BPM,2025-04-07 02:17:00
37,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 02:22:00
38,sensor_spo2,SPO2,97.2,%,2025-04-07 02:22:00
39,sensor_heart,Nhịp Tim,66.6,BPM,2025-04-07 02:22:00
40,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 02:27:00
41,sensor_spo2,SPO2,97.3,%,2025-04-07 02:27:00
42,sensor_heart,Nhịp Tim,75.8,BPM,2025-04-07 02:27:00
43,sensor_temp,Nhiệt Độ,36.0,°C,2025-04-07 02:32:00
44,sensor_spo2,SPO2,98.8,%,2025-04-07 02:32:00
45,sensor_heart,Nhịp Tim,76.7,BPM,2025-04-07 02:32:00
46,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 02:37:00
